enrollee_id,gender,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,city,city_development_index,relevent_experience,training_hours,target,kfold
13773.0,1.0,0.0,2.0,0.0,8.0,6.0,0.0,5.0,6,0.924,1,17,0.0,3
31427.0,1.0,0.0,2.0,0.0,16.0,0.0,1.0,3.0,21,0.738,1,174,0.0,0
10156.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,48,0.91,0,202,0.0,3
20342.0,1.0,0.0,2.0,0.0,5.0,3.0,2.0,1.0,103,0.939,0,106,0.0,3
19531.0,1.0,0.0,3.0,0.0,21.0,5.0,0.0,1.0,13,0.926,1,50,0.0,0
23315.0,2.0,0.0,2.0,3.0,1.0,6.0,4.0,0.0,5,0.92,0,95,1.0,0
16405.0,1.0,1.0,2.0,0.0,5.0,2.0,1.0,5.0,11,0.55,1,28,1.0,1
535.0,1.0,0.0,2.0,0.0,21.0,7.0,0.0,5.0,49,0.92,1,73,0.0,1
4730.0,1.0,0.0,2.0,0.0,19.0,5.0,0.0,5.0,48,0.91,1,24,0.0,2
6903.0,1.0,0.0,2.0,0.0,4.0,4.0,0.0,3.0,64,0.624,1,18,0.0,4
14166.0,1.0,0.0,2.0,0.0,16.0,2.0,0.0,1.0,101,0.754,1,30,0.0,4
9428.0,1.0,0.0,3.0,0.0,21.0,3.0,0.0,2.0,74,0.893,0,47,0.0,1
29485.0,1.0,1.0,2.0,0.0,4.0,4.0,0.0,1.0,122,0.915,0,48,1.0,1
14526.0,1.0,1.0,3.0,0.0,14.0,5.0,0.0,2.0,43,0.698,1,6,0.0,4
29351.0,1.0,0.0,3.0,0.0,16.0,4.0,0.0,5.0,5,0.92,1,36,0.0,4
8726.0,1.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,49,0.92,1,67,0.0,0
16935.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,35,0.763,0,56,0.0,0
896.0,1.0,0.0,4.0,0.0,21.0,4.0,0.0,2.0,13,0.926,1,96,0.0,3
9693.0,1.0,0.0,2.0,0.0,21.0,5.0,0.0,1.0,6,0.924,1,17,0.0,2
19902.0,1.0,0.0,2.0,3.0,2.0,5.0,0.0,1.0,48,0.91,1,148,1.0,0
8516.0,1.0,0.0,2.0,0.0,5.0,4.0,0.0,1.0,64,0.624,1,46,1.0,3
23650.0,1.0,0.0,2.0,2.0,8.0,5.0,1.0,1.0,18,0.64,1,6,0.0,0
8384.0,1.0,0.0,4.0,0.0,9.0,1.0,2.0,1.0,86,0.74,1,144,0.0,1
22671.0,1.0,0.0,2.0,0.0,9.0,6.0,0.0,5.0,64,0.624,1,43,0.0,4
21689.0,1.0,0.0,2.0,0.0,15.0,7.0,0.0,5.0,13,0.926,1,51,0.0,4
31906.0,1.0,1.0,2.0,5.0,7.0,2.0,1.0,4.0,101,0.754,1,78,0.0,1
1422.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5,0.92,0,39,0.0,4
8970.0,2.0,0.0,2.0,0.0,5.0,5.0,1.0,1.0,5,0.92,1,62,0.0,4
28711.0,1.0,2.0,1.0,0.0,10.0,5.0,0.0,1.0,48,0.91,1,248,0.0,2
12955.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,5,0.92,0,91,0.0,2
10031.0,1.0,0.0,2.0,0.0,8.0,0.0,2.0,1.0,5,0.92,1,90,0.0,3
12038.0,1.0,1.0,3.0,0.0,10.0,3.0,1.0,0.0,116,0.698,1,44,1.0,4
27128.0,1.0,1.0,3.0,0.0,9.0,5.0,4.0,0.0,5,0.92,0,166,0.0,0
3860.0,1.0,2.0,2.0,0.0,7.0,1.0,0.0,2.0,65,0.899,1,31,1.0,1
23010.0,1.0,0.0,1.0,0.0,8.0,3.0,0.0,1.0,41,0.6890000000000001,0,102,0.0,1
6706.0,2.0,0.0,2.0,5.0,0.0,3.0,0.0,0.0,64,0.624,0,154,1.0,0
31971.0,1.0,0.0,2.0,0.0,19.0,6.0,0.0,5.0,5,0.92,1,16,0.0,2
28079.0,1.0,0.0,2.0,5.0,1.0,1.0,0.0,1.0,5,0.92,1,18,0.0,2
30732.0,1.0,0.0,2.0,0.0,19.0,0.0,0.0,5.0,5,0.92,1,87,0.0,3
22228.0,1.0,1.0,2.0,0.0,3.0,4.0,4.0,1.0,49,0.92,0,102,1.0,1
31094.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,2.0,31,0.836,1,11,0.0,1
3810.0,1.0,0.0,2.0,0.0,21.0,6.0,0.0,5.0,5,0.92,1,152,0.0,1
8158.0,1.0,0.0,2.0,0.0,11.0,1.0,2.0,1.0,95,0.855,1,192,0.0,3
10596.0,2.0,0.0,2.0,0.0,5.0,5.0,0.0,1.0,95,0.855,1,30,0.0,3
9631.0,1.0,0.0,3.0,0.0,14.0,4.0,0.0,0.0,13,0.926,1,62,1.0,1
16981.0,1.0,0.0,2.0,0.0,4.0,2.0,2.0,3.0,15,0.743,0,54,0.0,3
5814.0,1.0,0.0,2.0,0.0,7.0,5.0,0.0,2.0,11,0.55,1,18,1.0,2
12441.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,122,0.915,0,192,0.0,0
25694.0,2.0,0.0,2.0,0.0,16.0,3.0,4.0,5.0,66,0.698,0,160,0.0,3
26273.0,2.0,1.0,2.0,4.0,10.0,5.0,0.0,0.0,5,0.92,0,4,0.0,3
27022.0,1.0,0.0,3.0,0.0,9.0,5.0,0.0,3.0,13,0.926,1,22,0.0,4
23850.0,1.0,0.0,3.0,0.0,18.0,1.0,0.0,1.0,74,0.893,1,24,0.0,1
